id;name;category;price
1;Klawiatura mechaniczna;peryferie;399.99
2;Mysz bezprzewodowa;peryferie;129.90
3;Monitor 24";monitory;799.00
4;Słuchawki gamingowe;peryferie;249.50
5;Podkładka pod mysz XXL;peryferie;59.99
6;Procesor Intel Core i5;podzespoły;949.00
7;Karta graficzna RTX 3060;podzespoły;1699.00
8;Dysk SSD 1TB NVMe;podzespoły;289.00
9;Pamięć RAM 16GB DDR4;podzespoły;199.00
10;Monitor 27" IPS;monitory;1299.00
11;Kamerka internetowa HD;peryferie;149.99
12;Laptop biurowy 15";laptopy;2499.00
13;Zasilacz 600W;podzespoły;259.00
14;Obudowa PC Tower;podzespoły;349.00
15;Kabel HDMI 2m;akcesoria;29.90
16;Pasta termoprzewodząca;akcesoria;35.00
17;Mikrofon studyjny USB;peryferie;449.00
18;Monitor ultrawide 34";monitory;2100.00
19;Laptop gamingowy;laptopy;4599.00
20;Router Wi-Fi 6;sieci;399.00
21;Dysk zewnętrzny 2TB;pamięci;349.00
22;Hub USB-C;akcesoria;119.90
23;Chłodzenie wodne CPU;podzespoły;549.00
